doi	title	volume	issue	published_date	rs_form_type	sample_size_category	extraction_confidence	sample_size_raw
10.1038/s41586-026-10255-7	Structural basis of supercoiling-induced CRISPR–Cas9 off-target activity			2026-3-25	Life sciences study design	replication_standard	high	No sample size calculation was performed. All observations were observed on sufficient numbers of individual molecules (>19). This sample size was taken from multiple different technical repeats of each condition tested. In our study, we capture individual DNA molecules and probe binding and FRET in
10.1038/s41586-026-10258-4	Epigenetic memory of colitis promotes tumour growth			2026-3-25	Life sciences study design	resource_constraint	high	No statistical methods were used to predetermine sample size. Sample sizes were based on those previously used by our lab and in preliminary experiments. Human organoid experiments were limited by donor participation.
10.1038/s41586-026-10259-3	Synthetic circuits for cell ratio control			2026-3-18	Life sciences study design	replication_standard	high	No statistical methods were used to predetermine sample size. Sample sizes were chosen to include at least three independent biological replicates, based on established practices in the field and prior literature (doi.org/10.1038/s41586-025-09287-2; doi.org/10.1038/ s41586-025-08947-7), to ensure re
10.1038/s41586-026-10264-6	Androgen activity in the male embryonic hindbrain drives lethal PFA ependymoma			2026-3-25	Life sciences study design	resource_constraint	high	Sample size was determined by the availability of the human samples. Mouse samples of hindbrain development time points were chosen based on availability and relevance of important developmental events.
10.1038/s41586-026-10266-4	Exposed phosphatidylserine is an inhibitory molecule in T cell exhaustion			2026-3-25	Life sciences study design	resource_constraint	high	No statistical method was used to predetermine sample size. Sample sizes were based off previous and preliminary studies from our lab (Sarkar, S. et al. J Exp Med. 2008) (Im, S. et al. Nature, 2016). For human studies, sample size was based on the availability of adequate samples.
10.1038/s41586-026-10267-3	Rapid concerted switching of the neural code in the inferotemporal cortex			2026-3-25	Life sciences study design	replication_standard	high	Sample sizes were maximized given the recording capacity of NHP Neuropixels probes (384 channels) and are consistent with previous studies using similar methods such as She, Liang, et al. "Temporal multiplexing of perception and memory codes in IT cortex" Nature (2024) and Bao, Pinglei, et al. "A ma
10.1038/s41586-026-10268-2	Catabolism of extracellular glutathione supplies cysteine to support tumours			2026-3-18	Life sciences study design	effect_size_estimate	high	For cell culture experiments, sample sizes were not chosen based on statistical methods. All cell culture experiments were repeated at least 2 independent times, each with n23 technical replicates (i.e., independent wells) per experimental condition, unless stated otherwise. This number was selected
10.1038/s41586-026-10270-8	Dominant clones leverage developmental epigenomic states to drive ependymoma			2026-3-25	behavioural & social sciences study design	resource_constraint	high	Sample size was defined by sample availability. There was no sample-size calculation performed.
10.1038/s41586-026-10278-0	Ectopic NMDAR expression in cancer unmasks germline-encoded autoimmunity			2026-3-25	Life sciences study design	methodology_determined	medium	
10.1038/s41586-026-10281-5	Parasites trigger epithelial cell crosstalk to drive gut–brain signalling			2026-3-25	Life sciences study design	power_calc	high	For statistical comparisons, sample size was selected based on power calculations performed with reference to previous or present experiments carried out in our laboratory and in the field. For patch-clamp recording experiments, we collected data from 6 cells. For Ca2+ imaging experiments, we collec
10.1038/s41586-026-10288-y	The DNA virome varies with human genes and environments			2026-3-25	Life sciences study design	na_or_blank	medium	
10.1038/s41586-026-10291-3	Oxygen supply through the tracheolar–muscle system does not constrain insect gigantism			2026-3-25	Ecological, evolutionary & environmental sciences study design	methodology_determined	high	Protocolsofunbiasedstereologywerestrictlyadheredto,includingsystematicrandomsamplingwhereapplicable,sothatisotropic uniformrandomimagesweregeneratedforanalysis.Thisincludedthehierarchicalrandomizationoftissuesampling,imagingand imageanalysis.Sample sizewasestimatedbasedontheanticipatedmagnitudeofvar
10.1038/s41586-026-10306-z	Aversive learning hijacks a brain sugar sensor to consolidate memory			2026-3-25	Life sciences study design	replication_standard	high	Sample sizes in this study were similar to previous studies from our or other groups for aversive memory assays14, appetitive memory assays37, metabolic imaging15,16, calcium imaging9, rather than being predetermined by statistical power estimation.
10.1038/s41586-026-10360-7	Molecular basis of oocyte cytoplasmic lattice assembly			2026-3-17	Life sciences study design	methodology_determined	medium	
